ID,Name,Street_Address,City,State,Postal_Code,Country,Latitude,Longitude,Image_URL
1,1 HOTEL SOUTH BEACH,2341 Collins Ave,Miami Beach,FL,33139,USA,25.7973,-80.127,https://imgur.com/a/XxYshwE
2,ANIMA AT MURANO BEACHCLUB,1000 South Pointe Dr,Miami,FL,33149,USA,25.7636,-80.1365,
3,ASTRA,2121 NW 2nd Ave,Miami,FL,33127,USA,25.796,-80.199,
4,BABY JANE,500 Brickell Ave #105e,Miami,FL,33131,USA,25.7694,-80.1917,
5,BARCELONA WINE BAR,310 NW 25th St,Miami,FL,33127,USA,25.8011,-80.2015,
6,BOHO HOUSE MIAMI,111 NE 20th St,Miami,FL,33137,USA,25.7989,-80.1915,
7,BROKEN SHAKER,2727 Indian Creek Dr,Miami Beach,FL,33140,USA,25.804,-80.128,
8,CAFE LA TROVA,971 SW 8th St,Miami,FL,33130,USA,25.7666,-80.2117,
9,DANTE'S HIFI,519 NW 26th St,Miami,FL,33127,USA,25.8019,-80.2024,
10,DUA MIAMI,1300 S Miami Ave,Miami,FL,33130,USA,25.7596,-80.1935,
11,THE DORAL YARD,8455 NW 53rd St Suite 106,Doral,FL,33166,USA,25.8141,-80.3333,
12,GRAMPS,176 NW 24th St,Miami,FL,33127,USA,25.7994,-80.1998,
13,GRAMPS GETAWAY,3301 Rickenbacker Cswy,Key Biscayne,FL,33149,USA,25.7313,-80.1628,
14,HOY COMO AYER,2212 SW 8th St,Miami,FL,33135,USA,25.7641,-80.231,
15,JOLT RADIO,3442 NW 7th Ave,Miami,FL,33127,USA,25.812,-80.2076,
16,JOIA BEACH,1111 Parrot Jungle Trail,Miami,FL,33132,USA,25.7853,-80.1767,
17,KLANDESTINO LOUNGE BAR,1668 NE 123rd St,North Miami,FL,33181,USA,25.8905,-80.1618,
18,MAD RADIO MIAMI,7700 Biscayne Blvd,Miami,FL,33138,USA,25.8424,-80.1858,
19,MEDIUM COOL COCKTAIL LOUNGE,1690 Collins Ave #2,Miami Beach,FL,33139,USA,25.7923,-80.13,
20,MOXY MIAMI SOUTH BEACH,915 Washington Ave,Miami Beach,FL,33139,USA,25.7804,-80.1313,
21,NATIONAL HOTEL,1677 Collins Ave,Miami Beach,FL,33139,USA,25.792,-80.1293,
22,NEME GASTRO BAR,1252 SW 22nd St,Miami,FL,33145,USA,25.7515,-80.2156,
23,NEVERLAND COFFEE BAR,",Miami,FL,,USA,,,
24,RAY'S HOMETOWN BAR MIAMI,2727 Indian Creek Dr""",Miami Beach,FL,33140,USA,25.804,-80.128,
25,SHA WYNWOOD,97 NW 25th St,Miami,FL,33127,USA,25.8012,-80.1979,
26,SRA. MARTINEZ,2325 Galiano St,Coral Gables,FL,33134,USA,25.75,-80.26,
27,SWEAT RECORDS,5505 NE 2nd Ave,Miami,FL,33137,USA,25.8296,-80.1915,
28,SWEET LIBERTY DRINKS & SUPPLY COMPANY,237 20th St Suite B,Miami Beach,FL,33139,USA,25.7959,-80.13,
29,TALA BEACH,2341 Collins Ave,Miami Beach,FL,33139,USA,25.7973,-80.127,
30,THE SYLVESTER,3456 N Miami Ave,Miami,FL,33127,USA,25.8124,-80.1947,
31,TOMORROWLAND MIAMI,1368 N Miami Ave,Miami,FL,33136,USA,25.788,-80.193,
32,ZEYZEY,353 NE 61st St,Miami,FL,33137,USA,25.829,-80.189,
